                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98214,                 1.4457,                 2.0211,                 1.4459,                0.57807,                0.62439,                0.57159,                0.42361,                0.57355,                0.61951,                0.56433,                 0.3441,                0.91298,                 4.6479,                 2.7232,                 1.6037,             0.00065278,             0.00065278,             0.00065278
                      1,                 0.7412,                0.71155,                 1.1552,                  1.208,                0.93571,                0.92293,                0.97991,                0.75756,                0.93571,                0.92293,                0.97991,                0.58893,                0.82991,                   10.4,                 1.2979,                 1.3744,              0.0011888,              0.0011888,              0.0011888
                      2,                0.74236,                0.80683,                0.95615,                 1.2046,                0.98025,                0.96852,                0.98246,                0.77022,                0.98025,                0.96852,                0.98065,                0.82817,                0.79319,                 2.0417,                 1.0811,                 1.3561,              0.0015929,              0.0015929,              0.0015929
                      3,                0.67636,                0.64731,                0.77981,                 1.1718,                0.96025,                0.98537,                0.98796,                0.78049,                0.96025,                0.98537,                0.98732,                 0.6628,                0.79572,                 3.6198,                0.79727,                 1.3614,               0.001406,               0.001406,               0.001406
                      4,                0.68371,                0.64707,                  0.655,                 1.1412,                0.99509,                 0.9894,                0.99397,                0.80477,                0.99509,                 0.9894,                0.99397,                0.89945,                0.71685,                0.71708,                0.51967,                 1.2546,               0.001406,               0.001406,               0.001406
                      5,                0.65074,                0.60977,                0.56554,                 1.1355,                0.94426,                0.96098,                0.98156,                0.77205,                0.93895,                0.96098,                 0.9795,                0.85788,                0.73155,                 0.7078,                0.53286,                 1.2684,               0.001208,               0.001208,               0.001208
                      6,                0.64178,                0.59895,                0.48315,                 1.1149,                0.99024,                0.99007,                0.99259,                 0.8224,                0.99024,                0.99007,                0.99259,                0.90549,                0.68223,                0.65079,                0.43877,                 1.1967,                0.00101,                0.00101,                0.00101
                      7,                0.59832,                0.57104,                0.43703,                 1.1092,                0.99477,                0.99024,                0.99373,                0.83049,                0.99477,                0.99024,                0.99373,                0.91125,                  0.648,                0.64755,                0.41374,                 1.1722,               0.000812,               0.000812,               0.000812
                      8,                 0.5703,                0.56527,                0.40033,                 1.0796,                0.99028,                0.99447,                0.99255,                0.84587,                0.99028,                0.99447,                0.99255,                0.92186,                0.62101,                0.63618,                0.36772,                 1.1292,               0.000614,               0.000614,               0.000614
                      9,                0.55515,                 0.5536,                0.37523,                 1.0662,                0.99477,                0.99024,                0.99211,                0.84363,                0.99477,                0.99024,                0.99211,                0.91288,                0.61416,                0.60099,                 0.3466,                 1.1477,               0.000416,               0.000416,               0.000416
