                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.82113,                 1.1901,                 1.3356,                 1.1679,                0.99013,                0.97846,                 0.9927,                0.78591,                0.99013,                0.97846,                 0.9927,                 0.8635,                0.75169,                 1.0378,                  1.819,                 1.3702,             0.00065278,             0.00065278,             0.00065278
                      1,                0.74796,                0.81024,                0.83742,                 1.1013,                 0.9277,                 0.9122,                0.95113,                0.72984,                 0.9277,                 0.9122,                0.94838,                0.79012,                0.82407,                 1.6653,                 1.4277,                 1.4966,              0.0012541,              0.0012541,              0.0012541
                      2,                0.79911,                0.85191,                   0.77,                 1.1062,                0.97548,                0.97027,                0.98534,                0.75984,                0.97548,                0.97027,                0.98519,                0.82173,                0.85643,                 1.3133,                 1.0827,                  1.425,              0.0017895,              0.0017895,              0.0017895
                      3,                0.74985,                0.83528,                0.65688,                 1.0994,                0.96403,                0.96585,                0.99081,                0.67387,                0.96403,                0.96585,                0.99081,                0.85029,                 1.0404,                 1.0788,                0.96444,                 1.7046,               0.001703,               0.001703,               0.001703
                      4,                0.75854,                0.82752,                0.60829,                 1.0925,                0.98425,                0.99024,                0.99046,                0.77935,                0.98425,                0.99024,                0.99046,                0.86762,                0.74724,                0.75876,                0.70174,                 1.2896,               0.001703,               0.001703,               0.001703
                      5,                 0.7223,                0.79655,                0.54597,                 1.0755,                0.99009,                0.97455,                0.98271,                0.79617,                0.99009,                0.97455,                0.98271,                0.87629,                 0.7097,                0.78322,                0.60546,                  1.249,               0.001604,               0.001604,               0.001604
                      6,                0.67966,                0.75078,                0.48486,                 1.0446,                0.99019,                0.98485,                0.99374,                 0.8167,                0.99019,                0.98485,                0.99374,                0.90345,                0.70308,                0.65159,                0.50048,                 1.2176,               0.001505,               0.001505,               0.001505
                      7,                 0.6712,                0.75944,                0.45856,                 1.0404,                0.99008,                0.98537,                0.99333,                0.79662,                0.99008,                0.98537,                 0.9931,                0.89301,                0.72471,                0.75785,                0.62544,                 1.2752,               0.001406,               0.001406,               0.001406
                      8,                0.66246,                0.75583,                0.43425,                 1.0467,                0.98811,                0.99024,                0.99144,                0.81923,                0.99027,                 0.9928,                0.99144,                0.89477,                0.65278,                0.65622,                0.46328,                 1.1882,               0.001307,               0.001307,               0.001307
                      9,                 0.6374,                 0.7322,                0.41774,                 1.0447,                0.99118,                0.99024,                0.99275,                0.82145,                0.98955,                0.99512,                0.99275,                0.90801,                0.67317,                0.62138,                0.43438,                 1.1939,               0.001208,               0.001208,               0.001208
                     10,                0.59364,                0.57594,                0.42658,                 1.1105,                0.99024,                0.98968,                0.99396,                0.81588,                0.99024,                0.98968,                0.99396,                0.90593,                0.68482,                0.65612,                0.45984,                  1.225,               0.001109,               0.001109,               0.001109
                     11,                0.58931,                0.56137,                 0.3858,                 1.0985,                0.98981,                0.99024,                0.99371,                0.83557,                0.98981,                0.99024,                0.99371,                0.91714,                0.64784,                0.62845,                0.38921,                 1.2089,                0.00101,                0.00101,                0.00101
                     12,                0.57279,                0.55432,                0.35227,                 1.0849,                0.99029,                0.99502,                0.99294,                0.82391,                0.99029,                0.99502,                0.99294,                0.90632,                0.66704,                0.62035,                0.37989,                 1.1945,               0.000911,               0.000911,               0.000911
                     13,                0.57029,                0.54985,                0.32941,                 1.0792,                0.99004,                0.99024,                0.99303,                0.82752,                0.99004,                0.99024,                0.99303,                0.91085,                0.69958,                0.62501,                0.41748,                 1.2154,               0.000812,               0.000812,               0.000812
                     14,                0.57005,                0.55025,                0.32425,                 1.0741,                 0.9948,                0.99024,                0.99475,                0.86005,                 0.9948,                0.99024,                0.99475,                0.91614,                0.61046,                0.60523,                0.33566,                 1.1305,               0.000713,               0.000713,               0.000713
                     15,                0.54818,                0.53752,                0.30736,                 1.0682,                 0.9951,                0.99011,                0.99402,                0.83705,                 0.9951,                0.99011,                0.99402,                0.91457,                 0.6434,                 0.5933,                0.35061,                 1.1621,               0.000614,               0.000614,               0.000614
                     16,                0.52973,                0.52519,                0.29855,                 1.0493,                0.99468,                0.98537,                0.99313,                0.84615,                0.99468,                0.98537,                0.99313,                0.92135,                0.61018,                0.58329,                0.31999,                 1.1488,               0.000515,               0.000515,               0.000515
                     17,                 0.5262,                0.52616,                0.28274,                 1.0466,                0.99476,                0.99024,                0.99373,                0.85331,                0.99476,                0.99024,                0.99373,                0.92448,                0.60826,                0.58398,                 0.3014,                 1.1358,               0.000416,               0.000416,               0.000416
                     18,                0.50982,                 0.5197,                0.26912,                 1.0195,                 0.9949,                0.99024,                0.99402,                0.85991,                 0.9949,                0.99024,                0.99402,                0.93025,                0.61264,                0.56638,                  0.309,                 1.1416,               0.000317,               0.000317,               0.000317
                     19,                 0.4996,                0.51353,                0.25847,                 1.0146,                0.99478,                0.99024,                0.99461,                0.86836,                0.99478,                0.99024,                0.99461,                0.93209,                0.59769,                0.55887,                0.28122,                 1.1483,               0.000218,               0.000218,               0.000218
